ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,EDUCATION_LEVEL,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3,TARGET_LABEL_BAD=1
1,C,5,Web,0,1,F,6,1,0,RN,Assu,1,RN,Santana do Matos,Centro,Y,105,1,15,N,1,900,0,1,1,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,4,NULL,NULL,0,0,0,0,1,N,32,595,595,1
2,C,15,Carga,0,1,F,2,0,0,RJ,rio de janeiro,1,RJ,RIO DE JANEIRO,CAMPO GRANDE,Y,20,1,1,N,1,750,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,11,4,11,NULL,0,0,0,0,1,N,34,230,230,1
3,C,5,Web,0,1,F,2,0,0,RN,GARANHUNS,1,RN,Parnamirim,Boa Esperanca,Y,105,1,NULL,N,1,500,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,11,NULL,NULL,NULL,0,0,0,0,1,N,27,591,591,0
4,C,20,Web,0,1,F,2,0,0,PE,CABO,1,PE,CABO,PONTE DOS CARVALHOS,N, ,NULL,NULL,N,1,500,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,NULL,NULL,NULL,NULL,0,0,0,0,1,N,61,545,545,0
5,C,10,Web,0,1,M,2,0,0,RJ,RIO DE JANEIRO,1,RJ,Rio de Janeiro,Santa Cruz,Y,20,1,12,N,1,1200,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,5,NULL,NULL,0,0,0,0,1,N,48,235,235,1
6,C,10,0,0,1,M,2,0,0,MG,CARMO DO RIO CLARO,1,MG,ALFENAS,Campos Eliseos,Y,33,1,4,N,1,500,0,0,0,0,0,0,1,1,0,1,Y,MG,ALFENAS,JARDIM SAO CARLOS,N, ,0,9,2,0,0,0,0,0,0,2,N,40,371,371,1
7,C,15,Carga,0,1,F,2,2,0,BA,salvador,1,BA,SALVADOR,VALERIA,Y,81,1,1,N,1,320,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,11,4,11,NULL,0,0,0,0,1,N,40,413,413,1
8,C,25,Web,0,1,F,1,0,0,MG,ATALEIA,1,SP,Itapecerica da Serra,Lagoa,N, ,1,4,N,1,489,0,0,0,0,0,0,0,0,0,0,Y,SP,Barueri,alphaville Industrial,Y,5,0,11,2,NULL,NULL,0,0,0,0,1,N,28,686,686,0
9,C,15,0,0,1,F,1,0,0,SP,LENCOIS PAULISTA,1,SP,MACATUBA,PLANALTO,Y,12,1,0,N,1,450,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,0,2,0,0,0,0,0,0,2,N,31,172,172,0
10,C,5,0,0,1,F,1,0,0,RS,SANTA MARIA,1,RS,PORTO ALEGRE,BOM JESUS,Y,54,1,5,N,1,1507,0,1,1,0,0,0,1,1,0,1,Y,RS,PORTO ALEGRE,MENINO DEUS,Y,54,0,9,2,11,0,0,0,0,0,1,N,41,914,914,0
